                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.43099,                0.34548,                0.84528,                 0.8569,                      1,                  0.995,                0.81543,                 0.8013,                 1.4112,                 1.0653,             0.00042188,             0.00042188,             0.00042188
                     73,                0.46014,                0.33042,                0.83256,                 0.8569,                      1,                  0.995,                0.81543,                 0.8013,                 1.4112,                 1.0653,             0.00041357,             0.00041357,             0.00041357
                     74,                0.47017,                0.38007,                0.82925,                 0.8569,                      1,                  0.995,                0.81543,                 0.8013,                 1.4112,                 1.0653,             0.00040486,             0.00040486,             0.00040486
                     75,                0.42613,                0.40457,                 0.8283,                0.89342,                      1,                  0.995,                0.81543,                0.77285,                 1.4808,                 1.0704,             0.00039575,             0.00039575,             0.00039575
                     76,                0.39104,                0.32109,                0.85105,                0.89342,                      1,                  0.995,                0.81543,                0.77285,                 1.4808,                 1.0704,             0.00038625,             0.00038625,             0.00038625
                     77,                0.43205,                0.35315,                0.82288,                0.89342,                      1,                  0.995,                0.81543,                0.77285,                 1.4808,                 1.0704,             0.00037635,             0.00037635,             0.00037635
                     78,                0.35587,                0.31332,                0.82358,                 0.9314,                      1,                  0.995,                0.86194,                0.70066,                 1.2852,                  1.059,             0.00036606,             0.00036606,             0.00036606
                     79,                 0.4397,                0.35008,                 0.8745,                 0.9314,                      1,                  0.995,                0.86194,                0.70066,                 1.2852,                  1.059,             0.00035537,             0.00035537,             0.00035537
                     80,                0.43739,                0.32255,                0.78154,                 0.9314,                      1,                  0.995,                0.86194,                0.70066,                 1.2852,                  1.059,             0.00034428,             0.00034428,             0.00034428
                     81,                0.40964,                0.34358,                0.83066,                0.92707,                      1,                  0.995,                0.84211,                0.71151,                 1.2411,                 1.0757,              0.0003328,              0.0003328,              0.0003328
                     82,                0.36054,                0.29232,                 0.8617,                0.92707,                      1,                  0.995,                0.84211,                0.71151,                 1.2411,                 1.0757,             0.00032092,             0.00032092,             0.00032092
                     83,                0.42806,                0.33803,                 0.8432,                0.92707,                      1,                  0.995,                0.84211,                0.71151,                 1.2411,                 1.0757,             0.00030865,             0.00030865,             0.00030865
                     84,                0.44035,                0.34026,                0.83978,                0.90096,                      1,                  0.995,                0.81416,                0.75115,                 1.4657,                  1.081,             0.00029598,             0.00029598,             0.00029598
                     85,                0.42918,                0.37442,                0.78298,                0.90096,                      1,                  0.995,                0.81416,                0.75115,                 1.4657,                  1.081,             0.00028291,             0.00028291,             0.00028291
                     86,                0.35697,                0.30371,                0.80543,                0.90096,                      1,                  0.995,                0.81416,                0.75115,                 1.4657,                  1.081,             0.00026945,             0.00026945,             0.00026945
                     87,                0.37341,                0.31303,                0.78218,                0.90096,                      1,                  0.995,                0.81416,                0.75115,                 1.4657,                  1.081,             0.00025559,             0.00025559,             0.00025559
                     88,                0.33077,                0.25933,                0.82181,                0.92803,                      1,                  0.995,                0.82739,                0.75328,                 1.3849,                 1.0646,             0.00024134,             0.00024134,             0.00024134
                     89,                0.33148,                0.26203,                0.81663,                0.92803,                      1,                  0.995,                0.82739,                0.75328,                 1.3849,                 1.0646,             0.00022669,             0.00022669,             0.00022669
                     90,                0.33025,                0.31213,                0.84664,                0.92803,                      1,                  0.995,                0.82739,                0.75328,                 1.3849,                 1.0646,             0.00021164,             0.00021164,             0.00021164
                     91,                0.32666,                0.42844,                0.74164,                0.92803,                      1,                  0.995,                0.82739,                0.75328,                 1.3849,                 1.0646,              0.0001962,              0.0001962,              0.0001962
                     92,                 0.3969,                0.42913,                0.78022,                0.94462,                      1,                  0.995,                0.84892,                0.74083,                 1.1293,                 1.0576,             0.00018036,             0.00018036,             0.00018036
                     93,                0.34119,                0.37674,                0.78597,                0.94462,                      1,                  0.995,                0.84892,                0.74083,                 1.1293,                 1.0576,             0.00016413,             0.00016413,             0.00016413
                     94,                0.29571,                0.28889,                  0.746,                0.94462,                      1,                  0.995,                0.84892,                0.74083,                 1.1293,                 1.0576,              0.0001475,              0.0001475,              0.0001475
                     95,                0.35925,                0.36642,                0.82872,                0.94462,                      1,                  0.995,                0.84892,                0.74083,                 1.1293,                 1.0576,             0.00013047,             0.00013047,             0.00013047
                     96,                0.33339,                0.34705,                0.79178,                0.95789,                      1,                  0.995,                0.85572,                 0.7413,                0.91691,                 1.0544,             0.00011305,             0.00011305,             0.00011305
                     97,                0.30037,                0.27382,                0.78924,                0.95789,                      1,                  0.995,                0.85572,                 0.7413,                0.91691,                 1.0544,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                0.33362,                0.31789,                0.88854,                0.95789,                      1,                  0.995,                0.85572,                 0.7413,                0.91691,                 1.0544,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                0.28684,                0.26041,                0.86564,                0.95789,                      1,                  0.995,                0.85572,                 0.7413,                0.91691,                 1.0544,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                0.29095,                0.28847,                0.83543,                0.96865,                      1,                  0.995,                0.85592,                0.73984,                0.73962,                 1.0468,             3.9402e-05,             3.9402e-05,             3.9402e-05
